place_id,visit_no,ratings,animal_id
1021,1,1.47,10047
1103,5,2.8,10064
1064,1,1.6,10062
1093,9,1.95,10019
1055,10,4.13,10049
1011,8,1.65,10026
1095,2,4.94,10050
1093,2,3.06,10051
1101,7,2.93,10058
1099,6,2.11,10031
1041,9,2.48,10029
1017,8,4.29,10051
1030,4,2.06,10048
1079,8,4.65,10001
1044,6,2.58,10040
1007,5,4.03,10003
1043,1,2.26,10038
1025,4,4.08,10025
1101,4,2.75,10040
1044,3,1.74,10056
1045,2,1.52,10042
1085,2,2.29,10059
1100,8,4.79,10014
1039,9,3.06,10029
1085,5,3.58,10029
1047,8,4.95,10013
1089,6,4.74,10031
1062,3,4.07,10038
1005,3,2.19,10050
1097,7,3.34,10027
1068,9,1.95,10033
1095,3,4.89,10018
1026,8,2.47,10053
1012,10,3.24,10011
1082,1,2.86,10038
1059,2,1.3,10017
1058,3,4.25,10035
1046,5,4.1,10037
1074,7,1.95,10059
1041,6,3.84,10005
1009,8,2.58,10031
1078,6,1.41,10060
1056,10,3.08,10055
1039,1,1.7,10007
1023,6,3.19,10044
1045,8,1.5,10011
1011,2,4.73,10066
1090,4,2.63,10013
1037,9,2.2,10004
1012,5,4.47,10037
1074,4,3.36,10030
1097,1,1.54,10019
1018,5,3.48,10023
1075,8,3.13,10025
1100,10,3.08,10005
1090,1,2.24,10023
1012,2,1.62,10021
1093,10,2.66,10045
1086,4,4.52,10040
1101,10,2.67,10020
1021,7,3.94,10065
1080,5,1.57,10055
1081,4,3.66,10006
1098,3,1.99,10036
1010,7,3.63,10015
1088,6,1.67,10038
1027,10,1.35,10021
1093,3,4.6,10048
1077,5,1.42,10014
1094,1,2.68,10016
1102,1,3.36,10059
1036,4,1.76,10013
1068,4,3.93,10018
1045,4,3.19,10010
1008,10,2.97,10017
1075,2,3.44,10053
1063,1,3.4,10035
1018,4,3.35,10010
1044,10,2.11,10037
1023,5,2.69,10062
1047,2,1.18,10043
1064,5,1.15,10038
1079,4,1.57,10046
1041,10,4.94,10051
1080,1,1.89,10035
1004,9,3,10006
1037,4,2.79,10050
1043,6,1.29,10066
1023,3,3.1,10016
1034,1,2.2,10048
1085,3,1.42,10066
1042,6,1.76,10065
1057,7,2.66,10050
1027,7,4.17,10014
1025,8,3.97,10054
3073,10,1.74,10001
3012,9,2.93,10025
3100,2,2.19,10051
3006,2,4.07,10050
3056,6,2.42,10056
3099,4,4.24,10012
3085,3,1.2,10046
3087,5,4.25,10037
3055,5,1.11,10028
3024,7,3.55,10037
3027,7,2.07,10062
3027,2,4.23,10032
3079,10,1.74,10008
3081,6,4.12,10013
3095,5,1.92,10024
3035,5,1.92,10028
3024,2,2.62,10066
3077,3,3.25,10050
3093,4,4.57,10057
3085,8,2.24,10029
3063,2,1.19,10023
3097,1,2.02,10001
3003,10,1.13,10009
3086,10,1.53,10057
3050,9,1.83,10057
3010,1,1.87,10045
3024,1,4.15,10011
3004,3,2.42,10051
3099,2,2.57,10031
3076,3,4.7,10064
3060,3,3.18,10055
3051,3,4.75,10058
3046,5,4.41,10034
3008,6,3.46,10025
3017,8,4.65,10014
3097,4,2.37,10003
3007,4,2.66,10018
3018,7,1.56,10037
3045,6,2.64,10036
3064,6,2.71,10058
3083,6,3.06,10014
3057,9,1.63,10015
3037,1,3.23,10052
3030,4,3.12,10026
3044,3,2.84,10053
3051,8,1.89,10056
3026,6,1.13,10019
3090,1,1.11,10002
3049,6,2.32,10038
3008,2,3.35,10008
3045,2,3.71,10038
3068,8,4.27,10026
3088,7,4.59,10020
3081,4,3.24,10034
3036,6,3.16,10037
3101,8,4.38,10050
3013,8,1.62,10061
3017,2,3.36,10027
3048,2,3.43,10051
3087,4,3.53,10001
3099,5,2.71,10022
3009,6,4.59,10008
3100,8,3.96,10032
3010,3,2.67,10045
3026,3,1.48,10051
3085,1,1.34,10035
3017,4,3.51,10001
3005,3,3.16,10042
3036,2,1.66,10003
3010,4,3.85,10065
3092,5,3.2,10053
3101,4,1.47,10018
3009,10,1.89,10041
3012,10,1.29,10061
3002,10,2.66,10031
3005,6,4.43,10018
3003,7,2.89,10011
3048,3,2.89,10047
3042,4,3.27,10004
3035,8,2.08,10015
3014,8,3.24,10060
3104,8,3.76,10007
3038,4,4.26,10001
3071,5,3.58,10034
3025,7,3.39,10008
3067,6,3.64,10050
3032,2,3.29,10063
3025,10,1.44,10057
3092,6,4.29,10016
3006,4,4.81,10001
3095,10,4.99,10033
3065,2,4.36,10057
3020,4,3.93,10020
3010,2,1.63,10055
3064,8,3.73,10039
3058,6,3.38,10008
3100,1,1.77,10062
3007,1,4.8,10015
3005,2,1.21,10036
3024,8,3.69,10024
3073,1,2.78,10015
3074,1,4.52,10013
3002,4,1.91,10023
3004,8,2.9,10026
3103,5,2.21,10032
3073,5,4.57,10061
3041,6,1.57,10056
3067,10,1.68,10038
3082,3,2.87,10018
3062,1,4.69,10046
3074,3,2.91,10015
3069,6,1.27,10008
3043,5,1.63,10057
3058,8,3.02,10024
3088,2,2.03,10066
3045,8,2.6,10026
3045,4,4.53,10038
3004,7,2.33,10061
3075,10,4.77,10060
3057,4,1.83,10047
3043,9,1.28,10009
3039,9,3.11,10055
3053,1,4.97,10031
3072,3,3.26,10048
3075,3,1.55,10039
3017,5,3.99,10014
3094,1,4.05,10031
3046,2,4.68,10028
3051,6,3.19,10026
3019,10,2.61,10039
3041,10,4.06,10016
3099,8,3.79,10020
3094,10,1.99,10026
3044,4,4.11,10026
3081,5,1.32,10047
3067,5,1.94,10019
3043,3,3.45,10003
3070,2,1.36,10040
3037,2,1.9,10011
3048,5,3.16,10011
3028,2,3.06,10064
3023,3,1.51,10046
3064,5,3.06,10054
3057,8,3.4,10045
3098,1,1.04,10004
3062,3,2.13,10014
3046,3,2.95,10064
3081,3,2.21,10059
3104,4,3.67,10066
3055,9,4.8,10037
3104,10,3.91,10035
3003,3,1.06,10060
3095,1,3.53,10020
3032,10,4.72,10007
3018,3,1.11,10032
3003,6,2.64,10065
3016,6,3.61,10002
3061,5,4.15,10013
3042,3,3.98,10001
3058,2,1.72,10061
3065,1,3.22,10059
3014,2,4.78,10028
3024,10,1.65,10029
3017,1,2.78,10055
3070,7,2.62,10043
3068,6,3.45,10008
3100,4,2.48,10005
3060,2,3.73,10047
3031,1,3.81,10057
3031,8,4.45,10035
3060,1,4.01,10066
3047,6,2.18,10013
